,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
20,1,2002,88.98333333,28.48974359,15.23653846,52.59224505,1.3217948720000001,8.127628424,5.0,669.0,20.0,653.0,462.0,212.0,7.0,0.0,5.0,0.0,14.0,417.0,1.0,0.0,0.0,7.0,2.0,0.0,3.0,0,6.0,661.0,13.0,67.0,593.0,1.0,10.0,50.0,0.0,5.0,2.0,0.0,0.0,530.0,144.0,23.0,503.0,4.0,5.0,169.0,331.0,0.0,0.0,0.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,210020.72,38260.287692307684,5764436.366923078,150.663696344396
21,2,2002,62.26137927,27.36175354,12.73819621,45.49515497,1.3217948720000001,34.86208168,15.0,1284.0,1.0,1297.0,795.0,504.0,6.0,1.0,7.0,0.0,9.0,752.0,2.0,0.0,0.0,0.0,12.0,0.0,5.0,0,1.0,1293.0,5.0,166.0,1126.0,1.0,45.0,100.0,0.0,21.0,3.0,1.0,0.0,1100.0,197.0,192.0,689.0,221.0,110.0,55.0,740.0,0.0,0.0,0.0,261.0,20.0,0.0,139.0,0.0,1.0,1.0,504117.8,62780.19461538462,750304.0892307692,11.951286449929281
22,3,2002,30.90164205,25.20211221,9.116778818,57.474864399999994,1.646221859,9.582600786,1.0,204.0,0.0,205.0,130.0,75.0,1.0,0.0,0.0,0.0,6.0,120.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,190.0,15.0,20.0,170.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,124.0,81.0,60.0,45.0,19.0,17.0,21.0,26.0,0.0,0.0,0.0,47.0,7.0,0.0,25.0,0.0,0.0,0.0,64132.8,8141.308461538462,99274.78,12.193958805147652
23,4,2002,44.47500364,40.48777343,25.81533753,47.74326823,7.466489628,20.20643456,0.0,68.0,1.0,67.0,31.0,37.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,67.0,1.0,2.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,48.0,7.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12613.039999999995,5674.191538461538,79562.97083333334,14.021904317827365
24,1,2003,85.29102564,27.80512821,14.49038462,49.2185718,1.221794872,7.589166885,1.0,640.0,6.0,635.0,120.0,521.0,29.0,0.0,8.0,0.0,53.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,7.0,0,2.0,634.0,7.0,11.0,592.0,31.0,17.0,7.0,2.0,8.0,12.0,0.0,0.0,524.0,117.0,29.0,482.0,13.0,14.0,114.0,369.0,0.0,0.0,0.0,34.0,4.0,1.0,15.0,1.0,1.0,1.0,177898.02000000005,33830.27,353772.66,10.46
25,2,2003,54.895909499999995,26.60790739,12.90742698,45.49515497,1.221794872,34.86208168,5.0,1106.0,12.0,1099.0,349.0,762.0,91.0,1.0,25.0,0.0,83.0,38.0,55.0,1.0,0.0,10.0,7.0,0.0,25.0,0,13.0,1105.0,6.0,8.0,900.0,197.0,87.0,57.0,17.0,40.0,6.0,0.0,0.0,1008.0,103.0,60.0,735.0,213.0,71.0,148.0,730.0,0.0,0.0,0.0,144.0,45.0,2.0,83.0,0.0,0.0,2.0,414354.86,64888.49,890048.03,13.72
26,3,2003,46.00891847,24.84057375,9.070624972000001,54.72399155,1.661606474,9.110720012,5.0,287.0,1.0,291.0,109.0,183.0,18.0,0.0,12.0,0.0,42.0,5.0,27.0,1.0,0.0,0.0,1.0,0.0,2.0,0,1.0,284.0,8.0,2.0,253.0,29.0,22.0,3.0,2.0,0.0,8.0,0.0,0.0,210.0,82.0,51.0,140.0,19.0,30.0,45.0,84.0,0.0,0.0,0.0,41.0,20.0,0.0,12.0,0.0,0.0,0.0,93935.73,10882.88,140976.12,12.95
27,4,2003,94.40349202,37.20477407,26.21695356,46.15471371,10.72195181,14.56244931,0.0,102.0,0.0,102.0,18.0,84.0,1.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,1.0,0,1.0,101.0,1.0,2.0,87.0,12.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,86.0,16.0,33.0,33.0,20.0,3.0,13.0,38.0,0.0,0.0,0.0,20.0,10.0,3.0,22.0,0.0,0.0,0.0,19397.17999999999,4603.25,65041.73,14.13
28,1,2004,80.33717949,27.95128205,14.49038462,50.32847597,1.106410256,8.266089962,1.0,607.0,14.0,593.0,177.0,430.0,33.0,2.0,8.0,1.0,11.0,45.0,21.0,5.0,0.0,21.0,8.0,0.0,16.0,0,6.0,607.0,1.0,3.0,454.0,67.0,2.0,37.0,11.0,21.0,0.0,5.0,0.0,499.0,109.0,11.0,475.0,13.0,23.0,136.0,326.0,0.0,0.0,0.0,23.0,4.0,0.0,4.0,0.0,0.0,2.0,195605.76,35664.41,454568.34,12.75
29,2,2004,61.65498981,30.99764308,21.420239600000002,45.49515497,1.106410256,34.86208168,28.0,1117.0,19.0,1126.0,242.0,903.0,8.0,54.0,29.0,0.0,38.0,32.0,5.0,9.0,0.0,16.0,7.0,0.0,31.0,0,9.0,996.0,149.0,7.0,694.0,187.0,78.0,68.0,74.0,18.0,1.0,55.0,2.0,999.0,146.0,42.0,772.0,181.0,100.0,112.0,738.0,0.0,0.0,0.0,141.0,45.0,3.0,31.0,0.0,0.0,3.0,435254.15,61737.1,760423.46,12.32
