,Unnamed: 0,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Crop,CropLabel
26,26,3,2003,46.00891847,24.84057375,9.070624972000001,54.72399155,1.661606474,9.110720012,8.0,1446.0,1.0,1453.0,489.0,965.0,32.0,0.0,14.0,0.0,10.0,103.0,258.0,2.0,1.0,11.0,14.0,0.0,24.0,0.0,20.0,1430.0,24.0,29.0,1378.0,25.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,1206.0,248.0,547.0,343.0,316.0,21.0,203.0,435.0,0.0,0.0,0.0,573.0,150.0,0.0,156.0,0.0,0.0,0.0,468852.12000000005,32284.75,593793.91,1,3.0
27,27,4,2003,94.40349202,37.20477407,26.21695356,46.15471371,10.72195181,14.56244931,0.0,42.0,0.0,42.0,1.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,1.0,13.0,0.0,0.0,0.0,8470.19,1205.01,20768.97,1,2.0
28,28,1,2004,80.33717949,27.95128205,14.49038462,50.32847597,1.106410256,8.266089962,0.0,46.0,0.0,46.0,16.0,30.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,29.0,5.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,17.0,29.0,8.0,7.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14306.320000000005,414.9,4366.97,1,1.0
29,29,2,2004,61.65498981,30.99764308,21.4202396,45.49515497,1.106410256,34.86208168,7.0,670.0,1.0,676.0,246.0,430.0,14.0,27.0,15.0,0.0,33.0,10.0,21.0,20.0,2.0,40.0,9.0,1.0,44.0,0.0,8.0,584.0,92.0,13.0,453.0,91.0,11.0,68.0,15.0,13.0,2.0,24.0,0.0,550.0,126.0,139.0,250.0,158.0,34.0,29.0,344.0,0.0,0.0,0.0,162.0,47.0,9.0,67.0,0.0,1.0,13.0,262504.94,20770.39,298096.64,1,2.0
30,30,3,2004,49.80933436,24.90980452,7.770624972,44.93640286,1.700068013,7.757371139,10.0,1425.0,4.0,1431.0,608.0,827.0,36.0,23.0,24.0,0.0,17.0,210.0,68.0,101.0,4.0,32.0,5.0,1.0,64.0,0.0,1.0,1160.0,275.0,33.0,1099.0,27.0,8.0,35.0,0.0,16.0,0.0,0.0,1.0,1250.0,185.0,314.0,472.0,463.0,77.0,267.0,590.0,0.0,0.0,0.0,407.0,187.0,6.0,129.0,0.0,0.0,46.0,401761.16,30896.72,458897.84,1,2.0
31,31,4,2004,43.11785708,39.47298528,24.015934,47.17295397,6.474778405,12.65373745,0.0,45.0,0.0,45.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,8.0,30.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,11.0,0.0,6.0,0.0,0.0,0.0,8005.389999999998,2414.8814285714284,12686.67,1,0.0
32,32,1,2005,105.1910256,27.94358974,14.21346154,52.27291523,1.052564103,9.768242686,0.0,44.0,1.0,43.0,12.0,32.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,43.0,1.0,0.0,40.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,10.0,11.0,3.0,2.0,3.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,13715.6,724.95,4374.551,1,0.0
33,33,2,2005,29.63582494,33.13238293,30.66187186,45.49515497,1.052564103,34.86208168,0.0,832.0,2.0,830.0,487.0,343.0,40.0,0.0,16.0,0.0,62.0,79.0,75.0,26.0,3.0,131.0,6.0,4.0,31.0,0.0,14.0,818.0,14.0,25.0,685.0,108.0,9.0,102.0,4.0,16.0,2.0,2.0,0.0,686.0,146.0,147.0,286.0,250.0,53.0,48.0,435.0,0.0,0.0,0.0,209.0,42.0,1.0,131.0,0.0,0.0,0.0,324359.73000000004,22766.2,311444.5,1,2.0
34,34,3,2005,46.27087282,25.04826606,6.332163433,54.70563363,1.700068013,13.11342857,7.0,1291.0,0.0,1298.0,556.0,739.0,20.0,1.0,7.0,0.0,5.0,305.0,54.0,22.0,11.0,36.0,17.0,2.0,23.0,0.0,53.0,1275.0,22.0,22.0,1221.0,32.0,31.0,22.0,0.0,1.0,0.0,0.0,0.0,1184.0,114.0,172.0,679.0,332.0,33.0,246.0,726.0,0.0,0.0,0.0,325.0,42.0,0.0,104.0,0.0,0.0,0.0,362916.73,29359.36,435383.51,1,2.0
35,35,4,2005,68.40035125,37.33466432,23.2408268,47.74326823,5.202990657,13.24485757,0.0,34.0,0.0,34.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,9.0,11.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6945.56,2414.8814285714284,24166.85,1,1.0
