,A,B,C,D,E,F,G,H,I,J
30,2.5636701494488654,-0.3336784304715409,1.7474475082657044,0.28164769574263726,-0.219931329711402,0.5007043796197693,0.3753639177869931,0.03170443611939153,0.013435656571977017,-0.21343212829559732
31,-0.8123040037463014,0.5072016298037315,0.31428995174623664,0.04452444522741345,0.10409684474354254,0.07355581297205839,-0.1388072812297101,0.09875955739171438,0.01523004712837144,-0.025240619346860955
32,0.04071853597456667,0.7926581240010925,0.29816280677095097,-0.42763922809889277,-0.32780139011410114,0.16740832528082172,-0.23297918318001018,0.032458210515405594,-0.11848633148760797,0.3969086560868668
33,1.1949703638530875,-0.4613550978870037,0.2464264777368278,0.030586506591879076,0.6278495687376433,-0.45602695734096704,-0.13313932396165565,0.01948959803148205,-0.14522684999886634,0.12017159814851883
34,0.39701341892107245,-0.6352897061774369,-0.32031901027742793,-0.36664261573358325,-0.20787621185014885,0.3529947931912954,-0.24986356095197013,-0.3713298606050453,-0.09663324065248896,0.07828235248823018
35,0.5599288614289767,0.35069078768787115,-0.5315623620052327,0.3064004591263533,0.2321204136931546,-0.006704938233886088,-0.18302666374384785,-0.01784799259692101,-0.009664905432367341,-0.09357187743183883
36,-0.9597096946315659,0.4720386657662402,0.34723546369297736,0.17669056515626694,0.17139650649822255,0.10125428853083791,-0.1723519190221355,0.12523482916569548,0.0009800019200991007,-0.014501383668795498
37,0.9003223146055896,0.2680083945534231,-0.4161751356876079,0.11782021672596894,-0.3544082043914773,-0.3533992049013856,-0.07226959012450465,0.47652590276566026,-0.09221842733657484,-0.11004076143800183
38,-0.6846833841023459,0.5854451606409002,0.19440054731181047,-0.32374331669532586,-0.09282447984042161,-0.03984625843962164,-0.015483781758492632,0.08087735069190649,0.08784534795132394,-0.10470233356898431
39,-0.6590681383037805,-0.6546598726220946,-0.20005544607429637,0.39555765325332826,0.0645598899692894,0.2561681634960238,-0.009528054887223341,-0.01684486728458872,-0.13036764870792286,-0.006127636423935848
40,-0.8355753440443784,0.3807395195486431,-0.18124885730004914,0.615686966932672,0.10545575448876172,0.49374804329222266,0.4378876896055788,-0.03841674253840294,-0.2250914535047194,0.0060384033249730575
41,-0.8465595167973851,-0.6430410573708036,-0.19846176978629407,0.40242121019109034,-0.08200280034022829,0.4130903781339172,0.08333433757552547,0.38477182600863774,0.05179952122383563,0.17505607950346452
